CAN,US,Virulence,Yr1,Yr5,Yr6,Yr7,Yr8,Yr9,Yr10,Yr15,Yr17,Yr24,Yr27,Yr32,Yr43,Yr44,YrSP,YrTr1,YrExp2,YrTye,
-,PSTv-104,"1,6,9,17,27,44,SP,Tr1,Tye",v,a,v,a,a,v,a,a,v,a,v,a,a,v,v,v,a,v,
-,PSTv-105,"1,6,7,9,17,27,43,Exp2",v,a,v,v,a,v,a,a,v,a,v,a,v,a,a,a,v,a,
-,PSTv-106,"1,6,7,9,17,27,43,44,Exp2",v,a,v,v,a,v,a,a,v,a,v,a,v,v,a,a,v,a,
-,PSTv-107,"1,6,7,8,9,17,27,43,Exp2",v,a,v,v,v,v,a,a,v,a,v,a,v,a,a,a,v,a,
-,PSTv-108,"1,6,7,9,10,17,27,43,44,Exp2",v,a,v,v,a,v,v,a,v,a,v,a,v,v,a,a,a,a,
-,PSTv-109,"6,7,8,9,10,27,43,44,Tr1,Exp2",a,a,v,v,v,v,v,a,a,a,v,a,v,v,a,v,v,a,
-,PSTv-110,"1,6,7,8,9,10,17,24,27,32,43,44,Exp2",v,a,v,v,v,v,v,a,v,v,v,a,v,v,a,a,v,a,
-,PSTv-111,"1,6,7,8,9,10,24,27,32,43,44,Exp2",v,a,v,v,v,v,v,a,a,v,v,v,a,v,a,a,v,a,
-,PSTv-112,"6,7,8,9,10,24,27,32,43,44,Exp2",a,a,v,v,v,v,v,a,a,v,v,v,v,v,a,a,v,a,
-,PSTv-113,"1,6,7,9,10,17,24,27,32,44,Exp2",v,a,v,v,a,v,v,a,v,v,v,v,a,a,a,a,v,a,
-,PSTv-114,"6,7,9,10,24,27,32,44,Exp2",a,a,v,v,a,v,v,a,a,v,v,v,a,v,a,a,v,a,
-,PSTv-115,"6,7,8,9,10,24,27,32,44,Exp2",a,a,v,v,v,v,v,a,a,v,v,v,a,v,a,a,v,a,
-,PSTv-116,"6,7,8,9,10,17,24,27,32,44,Exp2",a,a,v,v,v,v,v,a,v,v,v,v,a,v,a,a,v,a,
-,PSTv-117,"1,6,7,8,9,17,27,43,Tr1,Exp2",v,a,v,v,v,v,a,a,v,a,v,a,v,a,a,v,v,a,
-,PSTv-118,"10,32,Tr1",a,a,a,a,a,a,v,a,a,a,a,v,a,a,a,v,a,a,
-,PSTv-119,"6,7,8,17,27,43,44,Exp2",a,a,v,v,v,a,a,a,v,a,v,a,v,v,a,a,v,a,
-,PSTv-120,"1,6,9,27,SP,Tye",v,a,v,a,a,v,a,a,a,a,v,a,a,a,v,a,a,v,
-,PSTv-121,"1,7,9,44,SP,Tye",v,a,a,v,a,v,a,a,a,a,a,a,a,v,v,a,a,v,
-,PSTv-122,"1,17,44,Tye",v,a,a,a,a,a,a,a,v,a,a,a,a,v,a,a,a,v,
-,PSTv-123,"1,7,9,17,44,Exp2,Tye",v,a,a,v,a,v,a,a,v,a,a,a,a,v,a,a,v,v,
-,PSTv-124,"1,6,7,8,32,43,44,SP",v,a,v,v,v,a,a,a,a,a,a,v,v,v,v,a,a,a,
-,PSTv-125,"1,6,7,9,43,44,SP,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,a,a,v,v,v,a,v,v,
-,PSTv-126,"1,6,7,9,17,43,44,Exp2,Tye",v,a,v,v,a,v,a,a,v,a,a,a,v,v,a,a,v,v,
-,PSTv-127,"1,6,7,9,17,43,44,SP,Exp2",v,a,v,v,a,v,a,a,v,a,a,a,v,v,v,a,v,a,
-,PSTv-128,Exp2,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,v,a,
